Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
74,8,915,423
74,9,1014,383
74,10,1066,59
75,1,161,0
75,2,266,2
75,3,409,231
75,4,464,10
75,5,562,15
75,6,666,22
75,7,812,397
75,8,919,183
75,9,1015,546
75,10,1112,71
76,1,214,4
76,2,312,5
76,3,413,10
76,4,510,276
76,5,561,15
76,6,711,394
76,7,818,257
76,8,867,38
76,9,964,47
76,10,1115,501
77,1,161,0
77,2,311,166
77,3,410,80
77,4,459,10
77,5,612,333
77,6,711,353
77,7,763,29
77,8,921,478
77,9,1020,282
77,10,1119,155
78,1,156,0
78,2,311,5
78,3,358,5
78,4,512,15
78,5,616,316
78,6,660,21
78,7,814,438
78,8,916,453
78,9,1016,507
78,10,1071,57
79,1,165,0
79,2,260,2
79,3,410,191
79,4,516,140
79,5,568,14
79,6,717,228
79,7,819,466
79,8,915,135
79,9,1015,350
79,10,1072,56
80,1,161,0
80,2,263,2
80,3,417,9
80,4,461,9
80,5,610,184
80,6,714,398
80,7,766,28
80,8,912,260
80,9,1012,570
80,10,1116,314
81,1,163,0
81,2,313,5
81,3,361,5
81,4,512,248
81,5,562,14
81,6,712,231
81,7,811,62
81,8,918,123
81,9,1016,541
81,10,1120,486
82,1,163,0
82,2,262,2
82,3,416,142
82,4,518,203
82,5,618,280
82,6,715,368
82,7,812,460
82,8,915,375
82,9,967,44
82,10,1113,651
83,1,158,0
83,2,262,2
83,3,410,183
83,4,470,9
83,5,616,273
83,6,714,138
83,7,814,103
83,8,914,138
83,9,1014,428
83,10,1065,54
84,1,208,97
84,2,258,2
84,3,366,5
84,4,510,194
84,5,616,287
84,6,715,339
84,7,816,193
84,8,866,35
84,9,1016,474
84,10,1121,64
85,1,159,0
85,2,265,2
85,3,371,5
85,4,466,9
85,5,575,13
85,6,664,20
85,7,764,26
85,8,913,604
85,9,972,43
85,10,1067,53
86,1,208,91
86,2,262,2
86,3,360,5
86,4,513,149
86,5,613,317
86,6,716,367
86,7,819,495
86,8,919,369
86,9,1019,485
86,10,1123,284
87,1,217,2
87,2,262,2
87,3,410,180
87,4,512,274
87,5,616,265
87,6,718,280
87,7,816,42
87,8,912,438
87,9,966,42
87,10,1114,563
88,1,163,0
88,2,268,2
88,3,412,232
88,4,515,226
88,5,616,304
88,6,663,19
88,7,814,440
88,8,913,282
88,9,1015,552
88,10,1120,587
89,1,159,0
89,2,313,121
89,3,368,4
89,4,465,8
89,5,612,237
89,6,713,355
89,7,814,370
89,8,920,367
89,9,1015,461
89,10,1118,254
90,1,163,0
90,2,264,2
90,3,416,8
90,4,460,8
90,5,566,13
90,6,668,18
90,7,764,25
90,8,916,337
90,9,1016,390
90,10,1066,50
91,1,165,0
91,2,262,2
91,3,363,4
91,4,465,8
91,5,560,13
91,6,714,268
91,7,829,33
91,8,918,531
91,9,1014,471
91,10,1070,50
92,1,208,3
92,2,308,120
92,3,414,226
92,4,470,8
92,5,613,18
92,6,666,18
92,7,811,154
92,8,912,134
92,9,1017,201
92,10,1120,143
93,1,162,0
93,2,310,163
93,3,369,4
93,4,510,300
93,5,573,12
93,6,713,348
93,7,813,361
93,8,915,476
93,9,1023,302
93,10,1070,49
94,1,214,2
94,2,310,4
94,3,417,150
94,4,467,8
94,5,614,63
94,6,666,18
94,7,814,315
94,8,920,40
94,9,1019,503
94,10,1118,635
95,1,209,2
95,2,264,2
95,3,367,4
95,4,473,8
95,5,564,12
95,6,661,17
95,7,766,24
95,8,919,222
95,9,963,39
95,10,1073,48
96,1,214,2
96,2,315,4
96,3,359,4
96,4,516,207
96,5,571,12
96,6,709,362
96,7,819,382
96,8,918,186
96,9,1016,536
96,10,1121,545
97,1,159,0
97,2,263,2
97,3,412,203
97,4,463,8
97,5,617,125
97,6,661,17
97,7,813,408
97,8,920,485
97,9,965,38
97,10,1119,560
98,1,169,0
98,2,311,118
98,3,417,161
98,4,510,229
98,5,617,199
98,6,718,382
98,7,817,459
98,8,917,391
98,9,1019,127
98,10,1115,486
99,1,168,0
99,2,310,154
99,3,415,7
99,4,512,16
99,5,614,318
99,6,716,407
99,7,764,23
99,8,915,540
99,9,1017,55
99,10,1118,491
100,1,164,0
100,2,262,1
100,3,413,174
100,4,464,7
100,5,612,295
100,6,710,326
100,7,820,30
100,8,919,93
100,9,1024,300
100,10,1071,45
